?class, ?actions
"SlipRing","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"LowerHalf","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"Switch","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release, SelectSwitchPosition]"
"CleaningPatch","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"Hammer","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"CarryHandleScrew","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, LoosenScrew, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release, TightenScrew]"
"ExtractorPin","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"PipeCleaner","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"BoltCatch","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"SlingSwivel","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"CarryHandle","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"Trigger","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"TakedownPinTail","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"TakedownPinHead","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"PivotPinHead","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"PivotPinTail","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"Chamber","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"Region","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"BoltCatchBottom","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"BoltCatchTop","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
